region,club,type,distance,date,finishers,dnf,eid
MD: Capital Region,DC Randonneurs / 946012,RUSAB,207,2020/01/01,5,1.0,11579
WA: Seattle,Seattle International Randonneurs / 947018,RUSAP,100,2020/01/01,14,2.0,11521
OR: Portland,Oregon Randonneurs / 937020,ACPB,200,2020/01/01,3,0.0,11347
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200,2020/01/01,10,0.0,10874
CA: Davis,Davis Bike Club / 905014,RUSAP,103,2020/01/01,1,0.0,11275
OR: Portland,Oregon Randonneurs / 937020,RUSAP,109,2020/01/01,3,0.0,11346
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100,2020/01/01,1,0.0,10873
CA: Davis,Davis Bike Club / 905014,ACPB,200,2020/01/01,21,0.0,11274
CA: Los Angeles,Pacific Coast Highway Randonneurs / 905051,ACPB,200,2020/01/01,4,1.0,11166
MO: Kansas City,Audax Kansas City / 925005,RUSAB,201,2020/01/01,3,0.0,11599
GA: Atlanta,Audax Atlanta / 910004,ACPB,200,2020/01/01,7,0.0,10812
VA: Tidewater,Tidewater Randonneurs / 946002,RUSAP,100,2020/01/01,2,0.0,11183
WA: Seattle,Seattle International Randonneurs / 947018,RUSAB,203,2020/01/01,4,0.0,11612
MO: Kansas City,Audax Kansas City / 925005,RUSAP,149,2020/01/01,3,0.0,11600
TX: West Texas,West Texas Randonneurs / 943003,RUSAP,100,2020/01/04,0,,10857
AL: Birmingham,Montgomery Bicycle Club / 901005,RUSAB,200,2020/01/04,5,0.0,11562
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,200,2020/01/04,16,2.0,11138
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,RUSAB,200,2020/01/04,6,0.0,11477
OR: Eugene,South Willamette Randonneurs / 937003,RUSAB,200,2020/01/04,4,0.0,11596
PA: Eastern,Pennsylvania Randonneurs / 938017,RUSAB,200,2020/01/04,10,1.0,11121
AL: Birmingham,Montgomery Bicycle Club / 901005,RUSAP,100,2020/01/04,5,0.0,11561
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200,2020/01/04,9,0.0,11066
AZ: Phoenix,Arizona Randonneurs / 903020,RUSAP,109,2020/01/04,9,0.0,11137
CO: Boulder,Rocky Mountain Cycling Club / 906002,RUSAB,200,2020/01/04,6,0.0,11620
MO: Kansas City,Audax Kansas City / 925005,RUSAB,202,2020/01/04,6,0.0,11607
TX: Dallas,Lone Star Randonneurs / 943026,RUSAB,202,2020/01/04,3,0.0,11618
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,RUSAP,100,2020/01/04,2,1.0,11601
MO: Kansas City,Audax Kansas City / 925005,RUSAP,104,2020/01/04,3,0.0,11606
TX: Austin,Hill Country Randonneurs / 943025,RUSAP,100,2020/01/04,7,0.0,11617
MD: Capital Region,DC Randonneurs / 946012,RUSAP,132,2020/01/04,4,0.0,11623
NC: High Point,Bicycle For Life Club / 933057,ACPB,200,2020/01/04,3,2.0,11366
CA: San Diego,San Diego Randonneurs / 905140,RUSAP,100,2020/01/05,0,,10837
OH: Columbus,Ohio Randonneurs / 935012,RUSAP,100,2020/01/05,8,0.0,11613
MD: Capital Region,DC Randonneurs / 946012,RUSAB,200,2020/01/10,2,0.0,11633
TX: Dallas,Lone Star Randonneurs / 943026,RUSAB,213,2020/01/11,9,0.0,10875
FL: Southern,South Florida Randonneurs / 909014,ACPB,200,2020/01/11,19,0.0,11294
CA: San Diego,San Diego Randonneurs / 905140,ACPB,200,2020/01/11,14,0.0,10827
TX: Austin,Hill Country Randonneurs / 943025,RUSAP,144,2020/01/11,0,2.0,11619
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,RUSAP,100,2020/01/11,3,0.0,11602
NC: High Point,Bicycle For Life Club / 933057,ACPB,300,2020/01/11,0,,11368
GA: Atlanta,Audax Atlanta / 910004,ACPB,200,2020/01/11,7,0.0,10813
VA: Northern,Northern Virginia Randonneurs / 946020,RUSAP,103,2020/01/11,4,0.0,11636
MD: Capital Region,DC Randonneurs / 946012,RUSAB,200,2020/01/11,6,0.0,11624
TX: Houston,Houston Randonneurs / 943030,ACPB,200,2020/01/11,2,1.0,11005
NC: High Point,Bicycle For Life Club / 933057,ACPB,200,2020/01/11,2,1.0,11367
CA: San Luis Obispo,San Luis Obispo Randonneurs / 905166,ACPB,200,2020/01/11,10,0.0,11188
TX: Dallas,Lone Star Randonneurs / 943026,RUSAB,331,2020/01/11,5,0.0,10876
TX: Houston,Houston Randonneurs / 943030,RUSAP,111,2020/01/11,5,0.0,11004
CO: Boulder,Rocky Mountain Cycling Club / 906002,ACPB,200,2020/01/11,15,1.0,11022
NY: Central/Western,Finger Lakes Randonneurs / 932007,RUSAP,100,2020/01/12,1,0.0,11608
CA: San Francisco,San Francisco Randonneurs / 905030,RUSAP,117,2020/01/12,72,3.0,10937
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,101,2020/01/12,10,0.0,10877
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,105,2020/01/13,8,0.0,11610
LA: New Orleans,Crescent City Randonneurs / 918002,RUSAP,107,2020/01/14,2,0.0,11638
AZ: Phoenix,Arizona Randonneurs / 903020,RUSAP,103,2020/01/18,7,0.0,11139
WA: Seattle,Seattle International Randonneurs / 947018,RUSAP,105,2020/01/18,9,2.0,11645
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,200,2020/01/18,7,2.0,11140
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200,2020/01/18,8,0.0,11067
CA: Santa Rosa,Santa Rosa Randonneurs / 905171,ACPB,200,2020/01/18,28,1.0,11110
LA: New Orleans,Crescent City Randonneurs / 918002,ACPB,200,2020/01/18,2,0.0,11257
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,RUSAP,100,2020/01/18,1,0.0,11603
CO: Boulder,Rocky Mountain Cycling Club / 906002,RUSAB,200,2020/01/18,9,1.0,11621
NC: High Point,Bicycle For Life Club / 933057,ACPB,400,2020/01/18,0,,11369
NC: High Point,Bicycle For Life Club / 933057,ACPB,600,2020/01/18,2,0.0,11370
MD: Capital Region,DC Randonneurs / 946012,RUSAP,132,2020/01/18,2,0.0,11625
TN: Nashville,Harpeth Bicycle Club / 942046,RUSAB,200,2020/01/18,0,,11648
OK: Norman,Oklahoma Randonneurs / 936006,ACPB,200,2020/01/18,0,,10859
AL: Birmingham,Montgomery Bicycle Club / 901005,RUSAP,100,2020/01/18,5,1.0,10776
FL: Central,Central Florida Randonneurs / 909062,ACPB,200,2020/01/18,37,0.0,11434
WA: Seattle,Seattle International Randonneurs / 947018,RUSAB,200,2020/01/18,9,0.0,11629
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAP,100,2020/01/18,1,0.0,11647
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,RUSAP,100,2020/01/18,4,0.0,11486
NC: Raleigh,North Carolina Bicycle Club / 933045,RUSAP,100,2020/01/18,4,0.0,11630
CA: Santa Cruz,Santa Cruz Randonneurs / 905106,RUSAP,100,2020/01/18,3,0.0,11593
FL: Central,Central Florida Randonneurs / 909062,ACPB,300,2020/01/19,23,0.0,11436
CA: Los Angeles,Pacific Coast Highway Randonneurs / 905051,RUSAP,108,2020/01/19,7,0.0,11590
MD: Capital Region,DC Randonneurs / 946012,RUSAB,205,2020/01/20,6,0.0,11634
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,RUSAB,200,2020/01/20,24,0.0,11627
CA: Davis,Davis Bike Club / 905014,RUSAB,200,2020/01/20,4,0.0,11654
VA: Northern,Northern Virginia Randonneurs / 946020,RUSAP,103,2020/01/20,5,0.0,11653
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,RUSAB,200,2020/01/23,3,0.0,11669
TN: Nashville,Harpeth Bicycle Club / 942046,ACPB,200,2020/01/25,4,1.0,11230
